-11,0,7
-11,0,6
-12,0,6
-12,0,5
-13,0,4
-13,0,3
-13,0,2
-13,0,1
-13,0,0
-13,0,-1
-12,0,-2
-12,0,-3
-11,0,-3
-11,0,-4
-10,0,-4
-10,0,-5
-9,0,-5
-8,0,-5
-7,0,-5
-6,0,-5
-6,0,-4
-5,0,-4
-5,0,-3
-5,0,-2
-5,0,-1
-4,0,-1
-5,0,0
-5,0,1
-6,0,2
-7,0,2
-8,0,2
-8,0,3
-8,0,4
-7,0,4
-7,0,5
-6,0,5
-6,0,6
-5,0,6
11,0,4
11,0,5
10,0,5
9,0,5
9,0,6
8,0,6
7,0,6
6,0,6
5,0,6
4,0,6
4,0,5
3,0,5
3,0,4
3,0,3
3,0,2
3,0,1
3,0,0
3,0,-1
4,0,-1
4,0,-2
5,0,-2
6,0,-2
7,0,-2
7,0,-3
8,0,-3
9,0,-3
9,0,-4
9,0,-5
9,0,-6
8,0,-6
7,0,-6
6,0,-7
5,0,-7
4,0,-7
3,0,-7
2,0,-7
2,0,-6
1,0,-6
0,0,-5
